,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,castro,-24.7911,-50.0119,52.38,78,0,2.42,BR,1659314800
230,lubango,-14.9172,13.4925,49.37,69,5,4.29,AO,1659314800
231,nishihara,26.1842,127.7558,78.08,94,75,17.27,JP,1659314801
232,campina verde,-19.5356,-49.4864,71.04,36,0,2.91,BR,1659314801
233,bengkulu,-3.8004,102.2655,77.85,82,83,3.04,ID,1659314801
234,gadarwara,22.9167,78.7833,77.11,88,100,6.06,IN,1659314801
235,turkistan,43.0,68.0,74.95,42,0,7.4,KZ,1659314802
236,dwarka,22.2394,68.9678,80.55,81,100,20.6,IN,1659314802
237,ojinaga,29.5667,-104.4167,99.57,22,0,10.36,MX,1659314802
238,bilibino,68.0546,166.4372,65.46,39,46,6.11,RU,1659314802
239,saskylakh,71.9167,114.0833,45.64,77,100,10.36,RU,1659314803
240,saldanha,-33.0117,17.9442,41.05,79,0,13.35,ZA,1659314803
241,ponta delgada,37.7333,-25.6667,70.52,88,75,3.44,PT,1659314803
242,winsum,53.33,6.5208,64.38,93,100,14.58,NL,1659314803
243,souillac,-20.5167,57.5167,68.38,83,40,9.22,MU,1659314804
244,puerto colombia,10.9878,-74.9547,84.29,84,98,23.58,CO,1659314699
245,shingu,33.7333,135.9833,88.84,64,80,7.83,JP,1659314804
246,narasannapeta,18.4167,84.05,82.13,83,100,4.76,IN,1659314804
247,svetlaya,46.5389,138.3297,63.5,94,100,1.97,RU,1659314805
248,zarand,30.8127,56.564,74.93,28,0,1.92,IR,1659314805
249,vizinga,61.0749,50.1031,56.59,98,8,3.06,RU,1659314805
250,dusti,37.3481,68.664,77.2,31,10,2.71,TJ,1659314805
251,nelson bay,-32.7167,152.15,60.01,84,100,8.01,AU,1659314806
252,san nicolas,18.1725,120.5953,84.11,74,75,3.44,PH,1659314806
253,vila velha,-20.3297,-40.2925,71.55,84,75,3.44,BR,1659314806
254,moose factory,51.2585,-80.6094,57.2,94,100,10.36,CA,1659314806
255,victoria,22.2855,114.1577,91.26,76,97,1.99,HK,1659314784
256,padang,-0.9492,100.3543,77.05,82,100,3.02,ID,1659314711
257,san quintin,30.4833,-115.95,74.14,65,7,10.16,MX,1659314655
258,sydney,-33.8679,151.2073,64.76,64,0,17.27,AU,1659314578
259,takoradi,4.8845,-1.7554,73.53,84,95,12.19,GH,1659314807
260,khor,47.8861,134.9464,80.35,80,100,5.44,RU,1659314807
261,zhangye,38.9342,100.4517,75.7,40,85,5.55,CN,1659314807
262,coihaique,-45.5752,-72.0662,37.35,70,100,5.75,CL,1659314807
263,novobirilyussy,56.9514,90.6661,64.09,96,93,5.12,RU,1659314808
264,olhao,37.0286,-7.8411,80.29,59,0,2.3,PT,1659314808
265,nartan,43.5108,43.6994,66.74,72,0,4.47,RU,1659314808
266,marsh harbour,26.5412,-77.0636,83.19,73,100,11.88,BS,1659314808
267,khingansk,49.1167,131.1833,70.07,93,58,6.11,RU,1659314809
268,colon,9.3592,-79.9014,82.36,89,94,3.0,PA,1659314809
269,beyneu,45.3167,55.2,79.63,41,6,8.59,KZ,1659314809
270,maumere,-8.6199,122.2111,81.01,67,29,2.57,ID,1659314809
271,saint-georges,12.0564,-61.7485,80.28,89,20,23.02,GD,1659314810
272,deputatskiy,69.3,139.9,69.51,64,100,3.91,RU,1659314810
273,yuza,39.0,139.9167,84.25,62,89,4.12,JP,1659314810
274,geraldton,-28.7667,114.6,64.81,59,75,23.02,AU,1659314653
275,cabo san lucas,22.8909,-109.9124,85.51,80,33,3.0,MX,1659314810
276,zheleznogorsk-ilimskiy,56.5768,104.1217,63.91,92,93,5.01,RU,1659314811
277,hofn,64.2539,-15.2082,50.94,61,76,14.67,IS,1659314811
278,mata,40.683,-7.4592,73.92,46,0,1.14,PT,1659314811
279,manado,1.487,124.8455,86.77,70,20,1.14,ID,1659314811
280,novikovo,51.1537,37.8879,59.16,64,67,7.49,RU,1659314812
281,asau,46.4333,26.4,60.28,94,6,5.35,RO,1659314742
282,narsaq,60.9167,-46.05,50.22,86,99,2.86,GL,1659314812
283,bunia,1.5667,30.25,62.11,98,86,3.11,CD,1659314812
284,waingapu,-9.6567,120.2641,80.69,69,48,9.53,ID,1659314812
285,saint-ambroise,48.5501,-71.3324,76.6,50,60,8.05,CA,1659314813
286,bida,9.0833,6.0167,72.91,94,100,5.93,NG,1659314813
287,cairns,-16.9167,145.7667,77.07,79,100,10.36,AU,1659314813
288,palmaner,13.2,78.75,74.08,83,100,1.97,IN,1659314813
289,jalu,29.0331,21.5482,82.02,48,0,15.23,LY,1659314814
290,sao fidelis,-21.6461,-41.7469,61.52,87,0,2.39,BR,1659314814
291,chake chake,-5.2459,39.7666,72.32,87,16,8.37,TZ,1659314814
292,fairbanks,64.8378,-147.7164,66.31,73,75,4.61,US,1659314815
293,zhoucheng,35.9122,116.3117,86.0,69,6,3.04,CN,1659314815
294,basco,20.4487,121.9702,85.51,75,100,14.23,PH,1659314815
295,rio gallegos,-51.6226,-69.2181,39.25,70,0,13.8,AR,1659314815
296,okha,53.5739,142.9478,63.88,70,4,18.05,RU,1659314815
297,aitape,-3.1374,142.3475,86.56,63,100,4.43,PG,1659314816
298,la ronge,55.1001,-105.2842,71.82,49,40,9.22,CA,1659314570
299,tshikapa,-6.4167,20.8,73.72,35,1,1.14,CD,1659314816
300,komsomolskiy,40.4272,71.7189,75.92,38,36,2.3,UZ,1659314816
301,amio,9.3571,122.9413,82.38,74,100,0.94,PH,1659314817
302,sarab,38.6066,44.9883,73.62,52,50,0.69,IR,1659314817
303,berdigestyakh,62.0989,126.6992,68.85,80,100,5.61,RU,1659314817
304,thompson,55.7435,-97.8558,57.36,94,75,3.44,CA,1659314704
305,strezhevoy,60.7333,77.5889,52.3,71,0,10.09,RU,1659314817
306,lillesand,58.2488,8.3778,59.04,94,0,3.44,NO,1659314818
307,mitsamiouli,-11.3847,43.2844,75.18,71,0,3.69,KM,1659314818
308,whitianga,-36.8333,175.7,57.6,57,8,6.73,NZ,1659314818
309,talnakh,69.4865,88.3972,47.21,56,2,19.77,RU,1659314818
310,northam,51.0333,-4.2167,59.25,96,66,2.66,GB,1659314819
311,ust-ishim,57.6935,71.1665,56.48,77,98,7.65,RU,1659314819
312,albacete,38.8333,-2.0,77.18,73,0,6.91,ES,1659314819
313,bealanana,-14.55,48.7333,51.76,98,54,3.38,MG,1659314819
314,paita,-5.0892,-81.1144,62.85,85,6,14.88,PE,1659314688
